place_fips,place_name,latitude,longitude,coordinates
34671,Homestead Meadows North,31.8483263,-106.170686,"(+31.8483263, -106.1706860)"
34673,Homestead Meadows South,31.8110241,-106.1642592,"(+31.8110241, -106.1642592)"
34865,Horseshoe Bend,32.5789915,-97.8851595,"(+32.5789915, -097.8851595)"
35204,Huckabay,32.3488665,-98.2917619,"(+32.3488665, -098.2917619)"
35324,Hull,30.1471654,-94.6426337,"(+30.1471654, -094.6426337)"
35684,Iago,29.2712216,-95.9617954,"(+29.2712216, -095.9617954)"
35754,Iglesia Antigua,26.0850077,-97.832034,"(+26.0850077, -097.8320340)"
35828,Imperial,31.2668438,-102.6946509,"(+31.2668438, -102.6946509)"
35954,Indian Springs,30.6876087,-94.7462287,"(+30.6876087, -094.7462287)"
35966,Indio,26.5488768,-99.0958663,"(+26.5488768, -099.0958663)"
35996,Inez,28.8763344,-96.7908824,"(+28.8763344, -096.7908824)"
37390,Jardin de San Julian,26.5253753,-99.0998513,"(+26.5253753, -099.0998513)"
38168,Juarez,26.200879,-97.7296095,"(+26.2008790, -097.7296095)"
38518,K-Bar Ranch,27.9928238,-97.9267469,"(+27.9928238, -097.9267469)"
39304,Kingsland,30.6661413,-98.4540258,"(+30.6661413, -098.4540258)"
39664,Knippa,29.3038167,-99.6308289,"(+29.3038167, -099.6308289)"
39994,La Carla,26.4353853,-98.7405919,"(+26.4353853, -098.7405919)"
40018,La Chuparosa,26.4037077,-98.9268011,"(+26.4037077, -098.9268011)"
40104,La Coma Heights,26.4393073,-98.0747238,"(+26.4393073, -098.0747238)"
40186,La Escondida,26.3806496,-98.8737275,"(+26.3806496, -098.8737275)"
40262,Lago Vista,26.5643224,-99.1077667,"(+26.5643224, -099.1077667)"
40468,Lake Cherokee,32.3601871,-94.6501232,"(+32.3601871, -094.6501232)"
40475,Lake Colorado City,32.3464746,-100.9375181,"(+32.3464746, -100.9375181)"
40522,Lake Dunlap,29.665313,-98.0815595,"(+29.6653130, -098.0815595)"
40576,Lakehills,29.627062,-98.942618,"(+29.6270620, -098.9426180)"
40624,Lake Kiowa,33.570714,-97.013064,"(+33.5707140, -097.0130640)"
40674,Lake Medina Shores,29.6379951,-98.9914972,"(+29.6379951, -098.9914972)"
40966,Lake View,29.4590798,-100.9533606,"(+29.4590798, -100.9533606)"
41092,Lamar,28.1403399,-96.9878183,"(+28.1403399, -096.9878183)"
41176,Lamkin,31.8241895,-98.2619762,"(+31.8241895, -098.2619762)"
41404,Lantana,33.0934461,-97.1190398,"(+33.0934461, -097.1190398)"
41420,La Paloma Addition,28.017002,-97.500943,"(+28.0170020, -097.5009430)"
41424,La Paloma Ranchettes,26.3147915,-98.6230167,"(+26.3147915, -098.6230167)"
41449,La Presa,27.3995068,-99.4324964,"(+27.3995068, -099.4324964)"
41473,Laredo Ranchettes,27.491353,-99.3597816,"(+27.4913530, -099.3597816)"
41579,Las Palmas,26.9516327,-99.2760133,"(+26.9516327, -099.2760133)"
41580,Las Palmas II,26.2017066,-97.737588,"(+26.2017066, -097.7375880)"
41583,Las Quintas Fronterizas,28.6902084,-100.4683088,"(+28.6902084, -100.4683088)"
41660,La Tina Ranch,26.2007392,-97.4810229,"(+26.2007392, -097.4810229)"
41704,Laughlin AFB,29.358463,-100.7768832,"(+29.3584630, -100.7768832)"
42244,Lelia Lake,34.9020014,-100.7661961,"(+34.9020014, -100.7661961)"
42256,Leming,29.0683408,-98.4722266,"(+29.0683408, -098.4722266)"
42880,Lingleville,32.243196,-98.3767347,"(+32.2431960, -098.3767347)"
43000,Little Cypress,30.1780835,-93.755286,"(+30.1780835, -093.7552860)"
43216,Lockett,34.0825726,-99.3738212,"(+34.0825726, -099.3738212)"
43458,Loma Grande,28.7220767,-99.8327086,"(+28.7220767, -099.8327086)"
43462,Loma Linda East,27.7663367,-98.1942257,"(+27.7663367, -098.1942257)"
43463,Loma Linda East,26.3281299,-98.6894129,"(+26.3281299, -098.6894129)"
43465,Loma Linda West,26.4204706,-98.9303722,"(+26.4204706, -098.9303722)"
43474,Loma Vista,26.4168717,-98.9814119,"(+26.4168717, -098.9814119)"
43822,Longoria,26.3023796,-98.6424888,"(+26.3023796, -098.6424888)"
44062,Los Angeles,26.4947637,-97.7863193,"(+26.4947637, -097.7863193)"
44075,Los Arrieros,26.5157687,-99.08452,"(+26.5157687, -099.0845200)"
44076,Los Barreras,26.3911643,-98.9183533,"(+26.3911643, -098.9183533)"
44120,Los Fresnos,27.6169417,-99.2079786,"(+27.6169417, -099.2079786)"
44123,Los Huisaches,27.9070285,-99.4758031,"(+27.9070285, -099.4758031)"
44142,Los Lobos,26.6065359,-99.1612635,"(+26.6065359, -099.1612635)"
44145,Los Minerales,27.6554938,-99.6178801,"(+27.6554938, -099.6178801)"
45276,Lyons,30.4087904,-96.5392319,"(+30.4087904, -096.5392319)"
45564,McDade,30.2789325,-97.2523755,"(+30.2789325, -097.2523755)"
45576,Macdona,29.3207752,-98.6997165,"(+29.3207752, -098.6997165)"
46492,Manuel Garcia,26.3336545,-98.7016433,"(+26.3336545, -098.7016433)"
46494,Manuel Garcia II,26.3126464,-98.6912806,"(+26.3126464, -098.6912806)"
46572,Marathon,30.2208637,-103.2366013,"(+30.2208637, -103.2366013)"
46716,Markham,28.962548,-96.0639534,"(+28.9625480, -096.0639534)"
46854,Martinez,26.4221563,-98.75291,"(+26.4221563, -098.7529100)"
47016,Matagorda,28.6964514,-95.9666018,"(+28.6964514, -095.9666018)"
47172,May,31.9797603,-98.9247002,"(+31.9797603, -098.9247002)"
47676,Mentone,31.7074384,-103.5988748,"(+31.7074384, -103.5988748)"
47898,Mesquite,26.4024338,-98.9809382,"(+26.4024338, -098.9809382)"
48315,Miguel Barrera,26.4120118,-98.9215758,"(+26.4120118, -098.9215758)"
48318,Mikes,26.3146597,-98.6336117,"(+26.3146597, -098.6336117)"
48324,Milam,31.4489787,-93.7859862,"(+31.4489787, -093.7859862)"
48750,Mi Ranchito Estate,26.3878099,-98.8733291,"(+26.3878099, -098.8733291)"
49032,Montague,33.6652705,-97.720954,"(+33.6652705, -097.7209540)"
26724,Fort Hancock,31.2892723,-105.8450644,"(+31.2892723, -105.8450644)"
27102,Four Corners,29.6703306,-95.6600424,"(+29.6703306, -095.6600424)"
27540,Fresno,29.5375222,-95.4686649,"(+29.5375222, -095.4686649)"
48772,Mission Bend,29.6936953,-95.6663417,"(+29.6936953, -095.6663417)"
27972,Gail,32.7673138,-101.4558266,"(+32.7673138, -101.4558266)"
31640,Guthrie,33.6225938,-100.3284332,"(+33.6225938, -100.3284332)"
44168,Los Veteranos II,27.7711353,-99.4433092,"(+27.7711353, -099.4433092)"
28128,Garceno,26.4122625,-98.9405109,"(+26.4122625, -098.9405109)"
40000,La Casita,26.3370594,-98.733968,"(+26.3370594, -098.7339680)"
41458,La Puerta,26.3468285,-98.7505524,"(+26.3468285, -098.7505524)"
28200,Gardendale,32.0134576,-102.3596174,"(+32.0134576, -102.3596174)"
40456,Lake Brownwood,31.8169069,-99.1059184,"(+31.8169069, -099.1059184)"
29012,Garner,32.8270188,-97.9847882,"(+32.8270188, -097.9847882)"
29216,Gause,30.7873644,-96.7223188,"(+30.7873644, -096.7223188)"
29384,Geronimo,29.6728324,-97.9686472,"(+29.6728324, -097.9686472)"
29732,Glazier,36.0136809,-100.2701885,"(+36.0136809, -100.2701885)"
32012,Hamshire,29.8548076,-94.3207118,"(+29.8548076, -094.3207118)"
30560,Grangerland,30.253868,-95.3301201,"(+30.2538680, -095.3301201)"
30890,Green Valley Farms,26.1206979,-97.5647969,"(+26.1206979, -097.5647969)"
40210,La Feria North,26.178865,-97.8221953,"(+26.1788650, -097.8221953)"
31484,Guerra,26.8825825,-98.894882,"(+26.8825825, -098.8948820)"
33008,Hebbronville,27.3249839,-98.6856646,"(+27.3249839, -098.6856646)"
41569,Las Lomitas,27.3378377,-98.6628902,"(+27.3378377, -098.6628902)"
32300,Hargill,26.4422891,-98.0145585,"(+26.4422891, -098.0145585)"
32456,Harper,30.2661,-99.2726074,"(+30.2661000, -099.2726074)"
32792,Havana,26.2521904,-98.5109744,"(+26.2521904, -098.5109744)"
33092,Heidelberg,26.1827831,-97.8858986,"(+26.1827831, -097.8858986)"
33356,Hermleigh,32.640775,-100.7504846,"(+32.6407750, -100.7504846)"
34105,Hillside Acres,27.6761647,-99.177706,"(+27.6761647, -099.1777060)"
44072,Los Arcos,27.6144192,-99.210488,"(+27.6144192, -099.2104880)"
44077,Los Centenarios,27.6122598,-99.2129876,"(+27.6122598, -099.2129876)"
44146,Los Nopalitos,27.6195208,-99.2056086,"(+27.6195208, -099.2056086)"
44167,Los Veteranos I,27.6333528,-99.2185506,"(+27.6333528, -099.2185506)"
34130,Hilltop,28.693843,-99.1761481,"(+28.6938430, -099.1761481)"
34856,Hornsby Bend,30.2398936,-97.5901766,"(+30.2398936, -097.5901766)"
46308,Manchaca,30.1352341,-97.8364364,"(+30.1352341, -097.8364364)"
35253,Hudson Bend,30.4146552,-97.9273414,"(+30.4146552, -097.9273414)"
35420,Hungerford,29.4067041,-96.0905287,"(+29.4067041, -096.0905287)"
44212,Louise,29.1131361,-96.4123967,"(+29.1131361, -096.4123967)"
35915,Indian Hills,26.2111212,-97.9190966,"(+26.2111212, -097.9190966)"
39988,La Blanca,26.3047929,-98.0286013,"(+26.3047929, -098.0286013)"
37665,J.F. Villareal,26.4199115,-98.9788304,"(+26.4199115, -098.9788304)"
44079,Los Corralitos,27.6411934,-99.5574759,"(+27.6411934, -099.5574759)"
39784,Kopperl,32.0698561,-97.4990316,"(+32.0698561, -097.4990316)"
40036,Lackland AFB,29.3866304,-98.6178873,"(+29.3866304, -098.6178873)"
40100,La Coma,27.499068,-99.3035163,"(+27.4990680, -099.3035163)"
41565,Las Haciendas,27.631483,-99.1987298,"(+27.6314830, -099.1987298)"
40188,La Esperanza,26.4313135,-98.8922724,"(+26.4313135, -098.8922724)"
41170,La Minita,26.502256,-99.073505,"(+26.5022560, -099.0735050)"
40258,Lago,26.0875611,-97.6127448,"(+26.0875611, -097.6127448)"
40300,Laguna Heights,26.0808195,-97.2593071,"(+26.0808195, -097.2593071)"
40312,Laguna Park,31.8642631,-97.3833507,"(+31.8642631, -097.3833507)"
40462,Lake Bryan,30.714261,-96.4693188,"(+30.7142610, -096.4693188)"
40320,Laguna Seca,26.2793025,-97.9261822,"(+26.2793025, -097.9261822)"
40342,La Homa,26.2796445,-98.3574568,"(+26.2796445, -098.3574568)"
43150,Llano Grande,26.1308621,-97.9684471,"(+26.1308621, -097.9684471)"
40676,Lake Meredith Estates,35.663907,-101.6027253,"(+35.6639070, -101.6027253)"
43948,Loop,32.9141886,-102.4147094,"(+32.9141886, -102.4147094)"
40714,Lakeshore Gardens-Hidden Acres,28.1269742,-97.8697925,"(+28.1269742, -097.8697925)"
