name,year,total_population,white_alone,black_alone,asian_alone,two_or_more_races,hispanic_latino,german,irish,english,mexican,indian,chinese,vietnamese,french,italian,korean,place_fips,county,city
"Euless city, Texas",2017,54135,36120,6375,6251,1965,11768,44,16,390,863,4451,0,124,116,0,627,24768,Tarrant,Euless city
"Euless city, Texas",2018,55047,36065,6793,6393,2019,12292,59,0,319,1032,4508,0,178,0,0,600,24768,Tarrant,Euless city
"Euless city, Texas",2019,55763,36404,7208,6462,2207,11865,65,0,250,834,4709,0,173,0,0,577,24768,Tarrant,Euless city
"Euless city, Texas",2020,56334,32357,9662,6874,4279,10152,60,0,180,742,4382,0,173,24,0,469,24768,Tarrant,Euless city
"Euless city, Texas",2021,60134,32226,10015,7459,6744,11556,35,0,344,862,4467,0,157,47,0,523,24768,Tarrant,Euless city
"Euless city, Texas",2022,60360,30525,10184,7799,7665,12079,57,0,291,814,4260,0,127,67,0,521,24768,Tarrant,Euless city
"Bedford city, Texas",2009,48899,39329,3644,2480,810,5399,31,0,235,1368,5833,0,0,0,9,1418,7132,Tarrant,Bedford city
"Bedford city, Texas",2010,46975,37577,3885,2357,870,4795,25,13,239,1343,5773,0,12,0,0,1265,7132,Tarrant,Bedford city
"Bedford city, Texas",2011,47236,38198,3888,2033,802,5105,24,14,242,1066,6174,0,29,0,0,1264,7132,Tarrant,Bedford city
"Bedford city, Texas",2012,47385,38303,3823,1970,936,5586,22,11,369,1000,6262,0,60,0,0,1084,7132,Tarrant,Bedford city
"Bedford city, Texas",2013,47727,39145,3186,1957,1129,5795,19,8,279,1197,6152,0,66,0,0,1082,7132,Tarrant,Bedford city
"Bedford city, Texas",2014,48104,39651,3112,2234,1259,6106,8,17,259,1058,6298,0,75,8,0,1174,7132,Tarrant,Bedford city
"Bedford city, Texas",2015,48559,39889,3593,1926,1217,6308,21,12,253,1058,6584,0,95,8,0,1027,7132,Tarrant,Bedford city
"Bedford city, Texas",2016,48864,39172,4346,2139,1486,6731,26,51,295,1016,6095,0,76,12,0,804,7132,Tarrant,Bedford city
"Bedford city, Texas",2017,49082,38349,5325,2099,1635,6324,26,44,204,1095,6301,0,34,12,0,733,7132,Tarrant,Bedford city
"Bedford city, Texas",2018,49306,37133,5562,2720,1730,6912,28,76,360,1077,6063,0,31,11,0,634,7132,Tarrant,Bedford city
"Bedford city, Texas",2019,49323,36745,5977,2648,1656,6878,24,50,467,1036,5799,0,26,0,0,935,7132,Tarrant,Bedford city
"Bedford city, Texas",2020,49145,34460,6381,3062,2740,7438,21,58,516,956,5712,0,0,0,0,807,7132,Tarrant,Bedford city
"Bedford city, Texas",2021,49576,33509,6477,3082,4532,7886,38,0,587,880,5947,0,0,48,0,710,7132,Tarrant,Bedford city
"Bedford city, Texas",2022,49455,33052,5860,3094,5419,8808,32,0,562,828,5337,0,0,39,0,825,7132,Tarrant,Bedford city
"Wylie city, Texas",2009,34146,26400,3320,1749,824,5467,13,0,70,505,2844,0,32,40,0,463,80356,Collin,Wylie city
"Wylie city, Texas",2010,37079,27508,4111,2699,1003,5354,0,0,91,613,3179,0,23,35,0,538,80356,Collin,Wylie city
"Wylie city, Texas",2011,39120,28708,4495,2876,1214,5589,0,0,75,790,4196,0,21,10,0,354,80356,Collin,Wylie city
"Wylie city, Texas",2012,40793,30107,4560,2840,1472,6361,0,0,89,801,4929,0,0,0,0,241,80356,Collin,Wylie city
"Wylie city, Texas",2013,42384,31788,5102,2363,1515,6963,0,0,237,912,4937,0,36,0,0,317,80356,Collin,Wylie city
"Wylie city, Texas",2014,43531,32370,5560,2231,1513,7285,0,0,212,989,4993,0,27,14,0,258,80356,Collin,Wylie city
"Wylie city, Texas",2015,44461,33117,6018,1635,1763,8032,0,0,240,1335,5225,0,26,13,0,293,80356,Collin,Wylie city
"Wylie city, Texas",2016,45655,34388,6243,2010,1588,8223,43,0,347,1083,4547,0,27,15,0,817,80356,Collin,Wylie city
"Wylie city, Texas",2017,47855,35825,6183,2657,1375,9361,33,0,316,1128,4667,0,25,17,0,780,80356,Collin,Wylie city
"Wylie city, Texas",2018,49248,35772,6095,3546,1879,10053,80,0,211,1092,4667,0,0,22,0,928,80356,Collin,Wylie city
"Wylie city, Texas",2019,49759,35564,5979,4193,2143,10507,86,0,270,1021,4114,0,0,16,0,883,80356,Collin,Wylie city
"Wylie city, Texas",2020,51251,34998,6322,4298,3050,9435,111,0,285,783,3730,0,0,15,0,762,80356,Collin,Wylie city
"Wylie city, Texas",2021,55426,36035,7245,4612,4926,10617,132,0,303,1087,4072,0,0,14,0,702,80356,Collin,Wylie city
"Wylie city, Texas",2022,57063,35019,7559,5638,6667,10261,125,0,270,1261,3285,0,0,11,0,624,80356,Collin,Wylie city
"Conroe city, Texas",2009,52500,39801,6218,1145,551,18884,24,0,146,987,4097,0,108,37,0,673,16432,Dallas,Conroe city
"Conroe city, Texas",2010,53270,42227,5505,1036,639,20016,36,0,136,1098,4407,0,72,33,0,485,16432,Dallas,Conroe city
"Conroe city, Texas",2011,55346,45110,5670,1033,614,21317,91,0,184,988,4793,0,109,35,0,679,16432,Dallas,Conroe city
"Conroe city, Texas",2012,57380,47199,5787,1053,518,23003,87,17,152,894,4741,0,31,45,0,599,16432,Dallas,Conroe city
"Conroe city, Texas",2013,59429,49270,6557,552,775,22428,86,28,103,1093,5773,0,27,76,0,693,16432,Dallas,Conroe city
"Conroe city, Texas",2014,61268,51386,6266,632,778,23072,119,26,185,1009,5726,0,32,113,0,680,16432,Dallas,Conroe city
"Conroe city, Texas",2015,63521,53971,5215,1193,917,23940,88,27,207,940,5655,0,68,120,0,687,16432,Dallas,Conroe city
"Conroe city, Texas",2016,74482,62728,6670,1586,951,24137,37,30,133,1056,5898,0,32,167,0,1285,16432,Dallas,Conroe city
"Conroe city, Texas",2017,77086,64590,6598,1998,1085,25194,41,16,182,966,6057,0,36,160,0,1277,16432,Dallas,Conroe city
"Conroe city, Texas",2018,80893,67900,6326,2094,1153,26638,43,16,305,1067,5572,0,30,115,0,1472,16432,Dallas,Conroe city
"Conroe city, Texas",2019,84358,70006,7081,2601,1240,27321,21,16,335,911,6094,0,51,72,0,1471,16432,Dallas,Conroe city
"Conroe city, Texas",2020,88369,67597,9367,2549,3681,27173,34,14,365,1401,6451,0,35,81,0,1846,16432,Dallas,Conroe city
"Conroe city, Texas",2021,87930,63066,10406,2578,6322,26531,33,11,398,1274,6461,0,102,59,0,1307,16432,Dallas,Conroe city
"Conroe city, Texas",2022,92475,63058,10522,2815,10236,26806,70,0,368,1301,7316,0,64,41,0,1467,16432,Dallas,Conroe city
"The Colony city, Texas",2009,41392,33038,3069,2196,1704,7097,45,0,175,1352,5618,0,12,54,0,1248,72530,Denton,The Colony city
"The Colony city, Texas",2010,34947,27281,2011,2567,1938,7060,25,0,193,1120,4772,0,15,48,0,899,72530,Denton,The Colony city
"The Colony city, Texas",2011,35850,27613,2068,3033,2263,6776,30,0,241,1181,4905,0,15,26,0,834,72530,Denton,The Colony city
"The Colony city, Texas",2012,36718,28709,2143,2947,2251,6730,27,0,282,1282,4958,0,11,0,0,914,72530,Denton,The Colony city
"The Colony city, Texas",2013,37614,29490,2356,2967,1896,6387,0,0,302,1352,4994,0,14,0,0,771,72530,Denton,The Colony city
"The Colony city, Texas",2014,38690,29555,2959,2871,1935,6968,10,0,315,1116,4708,0,0,0,0,637,72530,Denton,The Colony city
"The Colony city, Texas",2015,39736,31196,3370,2313,1228,7452,4,0,342,862,4119,0,0,0,0,686,72530,Denton,The Colony city
"The Colony city, Texas",2016,40757,31844,3862,1702,1339,7842,5,0,307,740,4382,0,0,0,0,758,72530,Denton,The Colony city
"The Colony city, Texas",2017,41388,30891,4642,2193,1388,7953,8,23,287,827,4028,0,11,0,0,610,72530,Denton,The Colony city
"The Colony city, Texas",2018,42215,32399,3976,2139,1602,8830,8,25,302,749,3852,0,10,0,0,848,72530,Denton,The Colony city
"The Colony city, Texas",2019,43005,32712,3815,2302,1953,9389,35,25,308,698,3484,0,13,0,0,746,72530,Denton,The Colony city
"The Colony city, Texas",2020,43791,30455,5004,2813,3342,9046,33,19,305,683,3676,0,104,0,0,814,72530,Denton,The Colony city
"The Colony city, Texas",2021,43489,29489,4841,3320,4203,8523,42,17,258,754,3433,0,118,0,0,822,72530,Denton,The Colony city
"The Colony city, Texas",2022,44323,28369,4618,3628,5504,9377,31,0,248,660,3779,0,103,0,0,820,72530,Denton,The Colony city
"Southlake city, Texas",2009,26054,24078,446,1049,257,930,20,0,226,935,5037,0,9,0,0,895,69032,Tarrant,Southlake city
"Southlake city, Texas",2010,25567,23206,488,1190,391,876,64,0,284,944,4386,0,10,0,0,857,69032,Tarrant,Southlake city
"Southlake city, Texas",2011,26194,23751,346,1395,354,915,161,0,191,860,4167,0,0,12,0,933,69032,Tarrant,Southlake city
"Southlake city, Texas",2012,26454,23687,536,1523,495,1317,153,0,239,746,4377,0,0,13,15,815,69032,Tarrant,Southlake city
"Southlake city, Texas",2013,27006,24082,494,1719,505,1456,119,0,291,720,4575,0,0,12,19,781,69032,Tarrant,Southlake city
"Southlake city, Texas",2014,27755,24296,857,1878,490,1658,138,0,389,698,4240,0,13,11,62,833,69032,Tarrant,Southlake city
"Southlake city, Texas",2015,28361,24608,902,2109,584,1774,77,0,306,804,4123,0,10,10,64,891,69032,Tarrant,Southlake city
"Southlake city, Texas",2016,29101,24770,959,2409,626,1781,25,0,330,973,4337,0,19,0,67,747,69032,Tarrant,Southlake city
"Southlake city, Texas",2017,30090,25197,769,3058,641,1768,66,0,322,1011,4239,0,11,0,46,1032,69032,Tarrant,Southlake city
"Southlake city, Texas",2018,30840,24319,782,4633,739,1597,133,0,414,1088,4145,0,41,0,34,1083,69032,Tarrant,Southlake city
"Southlake city, Texas",2019,31292,24696,539,4967,768,1989,143,0,447,1109,4185,0,39,0,0,1144,69032,Tarrant,Southlake city
"Southlake city, Texas",2020,31684,24195,403,5583,999,2369,124,0,352,859,4598,0,40,41,0,1021,69032,Tarrant,Southlake city
"Southlake city, Texas",2021,30754,23786,245,5326,1183,2159,102,0,341,613,4093,0,37,42,0,974,69032,Tarrant,Southlake city
"Southlake city, Texas",2022,30779,23302,417,5230,1586,2732,72,0,453,627,3727,0,71,41,0,740,69032,Tarrant,Southlake city
"Abilene city, Texas",2009,116168,89019,10104,1826,2623,26541,107,0,594,2434,12659,0,39,190,0,857,1000,Dallas,Abilene city
"Abilene city, Texas",2010,116637,89959,11187,1739,3072,27934,86,0,564,2530,11549,9,71,136,0,913,1000,Dallas,Abilene city
"Abilene city, Texas",2011,117566,94034,11781,1867,3091,28156,81,19,713,2574,11344,12,91,63,0,872,1000,Dallas,Abilene city
"Abilene city, Texas",2012,118484,94497,11821,2026,3105,29348,98,32,727,2383,11160,10,104,72,0,811,1000,Dallas,Abilene city
"Abilene city, Texas",2013,119721,95142,11712,2123,3321,30092,117,35,739,2400,10644,12,136,56,0,933,1000,Dallas,Abilene city
"Abilene city, Texas",2014,120776,95003,12253,2236,3532,30926,84,34,577,2122,10984,12,110,72,0,707,1000,Dallas,Abilene city
"Abilene city, Texas",2015,122226,94243,12648,2300,3589,31721,80,30,648,2187,11252,0,150,70,0,659,1000,Dallas,Abilene city
"Abilene city, Texas",2016,122612,92682,12558,2571,3693,32664,68,18,439,2123,11325,34,109,36,0,842,1000,Dallas,Abilene city
"Abilene city, Texas",2017,122762,89775,12426,2581,4019,32853,70,12,398,2508,10647,39,133,33,0,910,1000,Dallas,Abilene city
"Abilene city, Texas",2018,123676,88558,12820,2949,4057,33033,37,8,435,2644,10776,37,138,54,0,1104,1000,Dallas,Abilene city
"Abilene city, Texas",2019,124156,89658,13161,2820,3860,33024,19,28,475,2548,10699,28,235,43,0,1354,1000,Dallas,Abilene city
"Abilene city, Texas",2020,124691,88614,12819,2952,6786,33840,100,35,665,2314,10522,29,196,31,0,1609,1000,Dallas,Abilene city
"Abilene city, Texas",2021,125474,87678,12791,2745,10491,34715,105,41,785,1958,11020,0,295,81,0,1509,1000,Dallas,Abilene city
"Abilene city, Texas",2022,126356,86031,13160,2891,14957,34917,99,67,582,1797,10723,0,691,114,0,1471,1000,Dallas,Abilene city
"University Park city, Texas",2009,24352,22764,252,906,255,923,0,118,518,1703,3374,0,0,7,0,294,74492,Dallas,University Park city
"University Park city, Texas",2010,22972,21454,245,887,244,859,0,74,466,1611,3128,0,0,5,0,252,74492,Dallas,University Park city
"University Park city, Texas",2011,23076,21528,265,923,255,910,73,77,470,1397,3219,0,0,6,0,257,74492,Dallas,University Park city
"University Park city, Texas",2012,23241,21479,211,1018,375,1001,87,59,462,1494,3017,0,18,5,0,286,74492,Dallas,University Park city
"University Park city, Texas",2013,23460,21904,249,877,328,862,98,10,362,1532,2658,0,28,7,0,364,74492,Dallas,University Park city
"University Park city, Texas",2014,23761,22336,193,723,346,1037,87,0,289,1438,2642,0,23,12,0,428,74492,Dallas,University Park city
"University Park city, Texas",2015,24101,22377,217,1024,307,1311,98,0,331,1535,2474,0,23,10,0,511,74492,Dallas,University Park city
"University Park city, Texas",2016,24346,22372,294,1186,288,1392,18,0,267,1339,2486,0,36,12,0,406,74492,Dallas,University Park city
"University Park city, Texas",2017,24692,22566,281,1381,299,1391,5,0,348,1207,2624,0,23,34,0,354,74492,Dallas,University Park city
"University Park city, Texas",2018,24954,22773,252,1334,424,1396,5,0,272,1215,3039,0,11,21,0,370,74492,Dallas,University Park city
"University Park city, Texas",2019,25036,22104,376,1664,577,1428,6,0,301,1172,2661,0,13,23,0,343,74492,Dallas,University Park city
"University Park city, Texas",2020,25027,21963,468,1414,914,1360,4,0,268,986,2977,0,11,25,0,233,74492,Dallas,University Park city
"University Park city, Texas",2021,25029,21976,280,1162,1311,1554,4,0,276,1103,2802,7,0,25,0,232,74492,Dallas,University Park city
"University Park city, Texas",2022,25179,21830,247,1121,1638,1757,4,0,156,929,2961,6,37,13,0,213,74492,Dallas,University Park city
"Farmers Branch city, Texas",2009,26379,21763,815,816,286,12091,0,0,174,262,1634,0,0,7,0,169,25452,Dallas,Farmers Branch city
"Farmers Branch city, Texas",2010,28161,22765,1180,997,310,12211,0,0,166,273,1811,0,0,0,0,215,25452,Dallas,Farmers Branch city
"Farmers Branch city, Texas",2011,28455,23392,1118,1008,364,12164,0,0,164,282,1862,0,0,12,0,160,25452,Dallas,Farmers Branch city
"Farmers Branch city, Texas",2012,28681,23726,1278,1243,403,11343,32,0,196,319,1836,0,55,11,0,151,25452,Dallas,Farmers Branch city
"Farmers Branch city, Texas",2013,29405,23902,1133,1241,570,11996,28,0,170,383,1810,0,38,10,0,130,25452,Dallas,Farmers Branch city
"Farmers Branch city, Texas",2014,30261,24553,1157,1611,656,12339,43,0,122,426,2233,0,30,9,14,150,25452,Dallas,Farmers Branch city
"Farmers Branch city, Texas",2015,31052,23858,1224,1766,1135,13437,38,0,163,481,2286,0,40,11,18,292,25452,Dallas,Farmers Branch city
"Farmers Branch city, Texas",2016,32211,23174,1386,1833,1418,14683,45,0,230,568,2204,0,44,0,7,311,25452,Dallas,Farmers Branch city
"Farmers Branch city, Texas",2017,33808,23338,1784,2214,1579,15625,23,0,252,571,2135,0,92,0,8,339,25452,Dallas,Farmers Branch city
"Farmers Branch city, Texas",2018,35552,24989,2150,2879,1618,15522,30,0,325,592,2170,0,80,0,4,411,25452,Dallas,Farmers Branch city
"Farmers Branch city, Texas",2019,39039,28004,2244,2925,1819,19170,10,0,283,637,1846,0,93,0,0,396,25452,Dallas,Farmers Branch city
"Farmers Branch city, Texas",2020,42659,30459,2931,3949,2619,19473,10,0,287,551,2023,0,127,0,0,243,25452,Dallas,Farmers Branch city
"Farmers Branch city, Texas",2021,36091,24454,2978,3545,2402,16307,0,0,246,392,2099,0,149,0,0,207,25452,Dallas,Farmers Branch city
"Farmers Branch city, Texas",2022,35985,23281,2997,3857,3165,15945,9,0,303,448,1906,0,11,0,13,199,25452,Dallas,Farmers Branch city
"Eagle Pass city, Texas",2009,25999,17716,23,87,904,24722,0,0,18,0,66,0,0,0,0,0,21892,Dallas,Eagle Pass city
"Eagle Pass city, Texas",2010,25468,19777,70,45,855,24404,0,0,0,0,145,0,0,0,0,0,21892,Dallas,Eagle Pass city
"Eagle Pass city, Texas",2011,25866,21817,85,60,904,24651,0,0,0,16,104,0,0,0,0,3,21892,Dallas,Eagle Pass city
"Eagle Pass city, Texas",2012,26383,23440,90,83,659,25186,0,0,6,13,131,0,0,0,0,2,21892,Dallas,Eagle Pass city
"Eagle Pass city, Texas",2013,26875,24809,84,79,509,25687,0,0,4,21,121,0,0,0,0,4,21892,Dallas,Eagle Pass city
"Eagle Pass city, Texas",2014,27463,25657,54,82,314,26223,0,0,34,17,140,0,0,0,0,0,21892,Dallas,Eagle Pass city
"Eagle Pass city, Texas",2015,27956,25975,61,279,224,26398,0,0,28,24,85,0,0,0,0,31,21892,Dallas,Eagle Pass city
"Eagle Pass city, Texas",2016,28209,25994,98,302,254,26693,20,0,37,8,98,0,26,0,0,35,21892,Dallas,Eagle Pass city
"Eagle Pass city, Texas",2017,28469,26508,124,240,154,27118,24,0,21,12,76,0,43,0,0,43,21892,Dallas,Eagle Pass city
"Eagle Pass city, Texas",2018,29151,27138,136,255,219,27719,36,0,25,26,91,0,64,0,0,31,21892,Dallas,Eagle Pass city
"Eagle Pass city, Texas",2019,29348,27272,213,296,317,27858,15,0,0,0,74,0,90,0,0,40,21892,Dallas,Eagle Pass city
"Eagle Pass city, Texas",2020,29307,25184,197,29,2835,28455,7,0,0,0,100,0,35,0,0,38,21892,Dallas,Eagle Pass city
"Eagle Pass city, Texas",2021,28367,20679,66,54,5673,27442,0,0,0,0,178,0,0,0,0,9,21892,Dallas,Eagle Pass city
"Eagle Pass city, Texas",2022,28166,16112,49,36,9829,27142,0,0,0,23,197,0,0,0,0,16,21892,Dallas,Eagle Pass city
"Del Rio city, Texas",2009,36085,30909,501,245,350,29746,25,0,118,181,773,0,0,0,0,179,19792,Dallas,Del Rio city
"Del Rio city, Texas",2010,35223,30293,468,252,441,29391,0,0,82,141,788,0,0,0,0,135,19792,Dallas,Del Rio city
"Del Rio city, Texas",2011,35396,31218,578,225,297,29560,0,0,68,113,719,0,0,0,0,132,19792,Dallas,Del Rio city
"Del Rio city, Texas",2012,35471,31942,516,186,410,29644,0,0,103,127,793,0,0,0,0,135,19792,Dallas,Del Rio city
"Del Rio city, Texas",2013,35578,32653,418,166,436,29716,0,0,110,146,1179,0,0,0,0,79,19792,Dallas,Del Rio city
"Del Rio city, Texas",2014,36081,33261,371,204,384,30359,0,0,76,140,1290,0,0,0,0,95,19792,Dallas,Del Rio city
"Del Rio city, Texas",2015,36119,33904,340,126,178,30638,0,0,55,151,1217,0,0,0,0,81,19792,Dallas,Del Rio city
"Del Rio city, Texas",2016,36007,33497,563,165,241,30404,0,0,29,140,1127,0,0,0,0,58,19792,Dallas,Del Rio city
"Del Rio city, Texas",2017,35951,33621,548,257,186,30377,0,0,22,119,1076,0,0,0,0,47,19792,Dallas,Del Rio city
"Del Rio city, Texas",2018,35921,33522,538,261,255,30778,0,0,49,100,755,0,0,0,0,86,19792,Dallas,Del Rio city
"Del Rio city, Texas",2019,35846,33529,475,302,242,30769,0,0,40,73,578,0,0,0,0,98,19792,Dallas,Del Rio city
"Del Rio city, Texas",2020,35828,30689,478,280,2468,30772,0,0,53,173,622,0,0,0,0,83,19792,Dallas,Del Rio city
"Del Rio city, Texas",2021,34831,27684,339,176,3854,30290,0,0,43,285,387,0,0,0,0,89,19792,Dallas,Del Rio city
"Del Rio city, Texas",2022,34722,25206,301,134,5389,30225,0,0,66,312,477,0,0,0,0,91,19792,Dallas,Del Rio city
"Cedar Park city, Texas",2009,55115,43966,2696,1988,1422,9127,100,0,450,996,7303,0,127,157,102,1484,13552,Dallas,Cedar Park city
"Cedar Park city, Texas",2010,44887,34385,2807,1942,1621,8126,82,0,188,864,5088,0,125,171,64,968,13552,Dallas,Cedar Park city
"Cedar Park city, Texas",2011,46981,35990,3419,2518,1480,8221,60,0,164,1087,5648,0,114,154,67,1171,13552,Dallas,Cedar Park city
"Cedar Park city, Texas",2012,51664,40782,3245,3221,1433,9053,37,0,191,1265,6495,0,144,80,71,1351,13552,Dallas,Cedar Park city
"Cedar Park city, Texas",2013,54874,44613,2757,3708,1489,9628,61,0,307,1105,6754,0,137,87,7,1383,13552,Dallas,Cedar Park city
"Cedar Park city, Texas",2014,58088,47454,3291,4598,1821,9297,76,0,286,1299,6713,0,136,124,0,1369,13552,Dallas,Cedar Park city
"Cedar Park city, Texas",2015,60841,50221,2650,5159,1709,10847,111,0,374,1374,6892,0,98,111,0,1441,13552,Dallas,Cedar Park city
"Cedar Park city, Texas",2016,63551,51937,2369,5750,2140,11993,114,0,402,1508,6360,0,81,134,0,1217,13552,Dallas,Cedar Park city
"Cedar Park city, Texas",2017,70010,56362,2200,6315,3007,13329,115,0,420,1591,6859,0,77,138,0,1480,13552,Dallas,Cedar Park city
"Cedar Park city, Texas",2018,72415,57990,2057,7052,3132,13640,81,0,447,2202,7242,0,20,140,0,1488,13552,Dallas,Cedar Park city
"Cedar Park city, Texas",2019,74814,60293,2207,7144,3139,15153,82,0,728,2238,8180,0,20,73,0,1620,13552,Dallas,Cedar Park city
"Cedar Park city, Texas",2020,77181,60122,1997,7767,4935,16796,14,0,629,3063,7553,0,0,47,0,1674,13552,Dallas,Cedar Park city
"Cedar Park city, Texas",2021,74741,56230,2530,8107,5607,16247,2,0,604,2730,6785,0,0,10,0,1754,13552,Dallas,Cedar Park city
"Cedar Park city, Texas",2022,76344,53904,2612,9656,7501,15389,0,0,568,2640,7241,0,0,0,0,1869,13552,Dallas,Cedar Park city
"Lancaster city, Texas",2009,34313,8713,22803,59,410,5570,0,0,57,117,1485,0,36,0,0,69,41212,Dallas,Lancaster city
"Lancaster city, Texas",2010,34186,8369,23051,65,277,5754,0,0,66,152,1219,0,34,0,0,80,41212,Dallas,Lancaster city
"Lancaster city, Texas",2011,35187,9490,23222,50,425,6676,0,0,86,203,1093,0,47,0,0,59,41212,Dallas,Lancaster city
"Lancaster city, Texas",2012,36271,10329,23757,40,463,7059,0,0,47,217,1030,0,52,0,0,77,41212,Dallas,Lancaster city
"Lancaster city, Texas",2013,37087,10977,24086,51,649,7460,0,0,38,167,1459,0,16,0,0,62,41212,Dallas,Lancaster city
"Lancaster city, Texas",2014,37731,10896,24695,69,894,7885,0,0,41,156,1050,0,85,0,0,52,41212,Dallas,Lancaster city
"Lancaster city, Texas",2015,38152,10504,25856,54,1063,7365,0,0,26,143,1011,0,83,0,0,38,41212,Dallas,Lancaster city
"Lancaster city, Texas",2016,38426,9946,26509,115,994,7036,0,0,27,77,969,0,87,0,0,56,41212,Dallas,Lancaster city
"Lancaster city, Texas",2017,38871,9795,26735,148,1099,7391,0,0,21,91,986,0,132,0,0,36,41212,Dallas,Lancaster city
"Lancaster city, Texas",2018,39162,9277,26880,225,1232,7607,0,0,27,75,511,0,143,0,0,59,41212,Dallas,Lancaster city
"Lancaster city, Texas",2019,39214,9042,27548,292,888,7181,0,0,38,77,436,0,30,0,0,32,41212,Dallas,Lancaster city
"Lancaster city, Texas",2020,39264,8703,28307,326,945,5802,0,0,67,54,415,0,6,0,0,22,41212,Dallas,Lancaster city
"Lancaster city, Texas",2021,41057,8226,28154,404,3015,8708,0,0,57,34,397,0,32,0,0,12,41212,Dallas,Lancaster city
"Lancaster city, Texas",2022,40958,7508,27660,293,3227,8864,0,0,36,83,504,0,30,0,0,5,41212,Dallas,Lancaster city
"Mansfield city, Texas",2009,42958,33040,5012,1623,1066,7055,10,0,272,1163,4772,0,5,96,0,713,46452,Tarrant,Mansfield city
"Mansfield city, Texas",2010,50941,38236,6348,2214,1624,7718,14,0,159,1052,5204,0,10,82,0,636,46452,Tarrant,Mansfield city
"Mansfield city, Texas",2011,53806,40271,7445,2147,1698,8601,99,0,130,1017,4752,0,8,93,0,656,46452,Tarrant,Mansfield city
"Mansfield city, Texas",2012,55818,41838,7858,2328,1950,8078,71,0,158,1064,5391,0,50,25,0,574,46452,Tarrant,Mansfield city
"Mansfield city, Texas",2013,57529,43292,8081,2291,2251,7996,83,0,184,1233,5168,0,50,23,0,730,46452,Tarrant,Mansfield city
"Mansfield city, Texas",2014,59757,43902,9171,2564,2481,8008,86,0,254,1373,5561,0,57,23,0,757,46452,Tarrant,Mansfield city
"Mansfield city, Texas",2015,61559,44649,9286,3032,2764,8730,72,0,374,1650,4791,0,62,6,0,880,46452,Tarrant,Mansfield city
"Mansfield city, Texas",2016,63141,44917,9907,3196,2673,9541,21,0,381,1730,4789,0,119,35,0,897,46452,Tarrant,Mansfield city
"Mansfield city, Texas",2017,65033,46073,10851,2860,2622,10668,15,0,419,1672,4608,0,82,33,0,865,46452,Tarrant,Mansfield city
"Mansfield city, Texas",2018,67492,46464,12071,2937,2891,12002,83,0,511,1800,4761,0,81,37,0,818,46452,Tarrant,Mansfield city
"Mansfield city, Texas",2019,69557,47266,13025,3165,2796,12678,120,0,440,1835,4389,0,220,38,0,688,46452,Tarrant,Mansfield city
"Mansfield city, Texas",2020,71419,45742,15818,3019,4043,12189,108,0,440,1462,5219,0,180,42,0,543,46452,Tarrant,Mansfield city
"Mansfield city, Texas",2021,71375,44513,16116,2688,5336,12261,247,0,417,1308,5442,0,224,0,0,641,46452,Tarrant,Mansfield city
"Mansfield city, Texas",2022,73680,43622,17190,3377,6672,12400,220,56,407,1314,5439,0,240,0,0,1088,46452,Tarrant,Mansfield city
"Rowlett city, Texas",2009,54899,41708,6595,2597,768,7789,94,0,157,1308,4391,0,7,20,0,494,63572,Dallas,Rowlett city
"Rowlett city, Texas",2010,53788,40021,8012,2508,602,7839,56,0,156,814,3747,0,174,16,0,443,63572,Dallas,Rowlett city
"Rowlett city, Texas",2011,55050,41340,7882,2818,671,8441,13,0,136,910,3776,0,212,0,37,436,63572,Dallas,Rowlett city
"Rowlett city, Texas",2012,55970,41517,8439,3010,1033,9564,0,0,160,970,4411,0,134,0,21,673,63572,Dallas,Rowlett city
"Rowlett city, Texas",2013,56856,41110,8716,3483,1686,10551,0,0,150,899,4356,0,141,0,21,799,63572,Dallas,Rowlett city
"Rowlett city, Texas",2014,57532,41261,8556,4032,1965,11770,0,0,137,909,4433,0,104,0,15,814,63572,Dallas,Rowlett city
"Rowlett city, Texas",2015,58296,41919,8597,4281,2091,12316,33,42,160,1100,4929,0,0,0,15,901,63572,Dallas,Rowlett city
"Rowlett city, Texas",2016,59203,42774,9181,4150,2245,12296,39,42,241,1525,5032,0,0,0,0,983,63572,Dallas,Rowlett city
"Rowlett city, Texas",2017,60357,42867,10025,3995,2329,12470,29,38,296,1449,5055,0,0,0,0,801,63572,Dallas,Rowlett city
"Rowlett city, Texas",2018,62127,43741,10467,4808,1919,11614,32,38,448,1537,5429,0,0,0,0,738,63572,Dallas,Rowlett city
"Rowlett city, Texas",2019,63793,44365,11186,4745,2238,12542,39,26,449,1407,5414,0,78,21,0,902,63572,Dallas,Rowlett city
"Rowlett city, Texas",2020,65426,41461,13340,4386,4641,13028,9,0,349,1191,5781,0,67,10,0,1121,63572,Dallas,Rowlett city
"Rowlett city, Texas",2021,62606,38252,13120,4238,5284,12947,9,0,316,874,5187,0,59,8,0,1308,63572,Dallas,Rowlett city
"Rowlett city, Texas",2022,63291,36718,13906,4491,6091,13599,7,0,260,1068,4787,0,57,16,0,1239,63572,Dallas,Rowlett city
"Rockwall city, Texas",2009,33548,29074,1800,857,317,3647,0,0,236,984,3409,0,0,15,0,639,62828,Rockwall,Rockwall city
"Rockwall city, Texas",2010,35094,29308,1872,609,445,5550,0,0,206,888,3019,0,0,17,0,475,62828,Rockwall,Rockwall city
